case_id,preferences,history,intent,must_avoid,recommended_title,year,genres,tmdb_id,description,tmdb_enriched,tmdb_runtime_min,tmdb_director,tmdb_top_cast,tmdb_tagline,tmdb_keywords,constraint_score,intent_score,history_score,tmdb_metadata_score,description_score,description_quality_score,blurb_format_score,overall_score,quick_eval,notes,tmdb_notes,description_notes,quality_notes,blurb_format_notes
1,"I want a funny, feel-good movie.",-,Comedy / uplifting,Dark or horror-heavy picks,Lilo & Stitch,2025,"Comedy, Science Fiction, Family",552524,"Lilo & Stitch (2025, 108 min), starring Maia Kealoha and Sydney Agudong. Lilo & Stitch is a strong pick for this request. It fits because it leans into comedy and funny. The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
2,"Something dark and suspenseful, but not horror.","The Dark Knight, Se7en",Thriller / tension,Explicit horror,Furious 7,2015,"Crime, Thriller, Action",168259,"Furious 7 (2015, 139 min), starring Vin Diesel and Paul Walker. Furious 7 is a strong pick for this request. It fits because it leans into thriller and a James Wan direction style. Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.",False,,,,,,1,2,1,0,2,2,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; fit rationale is generic; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
3,"Give me a romantic movie, but not cheesy.",-,Romance / mature tone,Overly sugary rom-com energy,Cinderella,2015,"Fantasy, Drama, Romance, Family",150689,"Cinderella (2015, 105 min), starring Lily James and Cate Blanchett. Cinderella is a strong pick for this request. It fits because it leans into romance and romantic. When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to chang.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: cast, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
4,I want a recent sci-fi movie that feels serious and thoughtful.,-,Recent serious sci-fi,Silly / lightweight picks,The Great Flood,2025,"Adventure, Science Fiction, Drama",982843,"The Great Flood (2025, 107 min), starring Kim Da-mi and Park Hae-soo. The Great Flood is a strong pick for this request. It fits because it leans into science fiction and a Kim Byung-woo direction style. When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line.",False,,,,,,1,2,1,0,2,2,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; fit rationale is generic; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
5,A short comfort watch for a stressful night.,-,Short comfort movie,Long or emotionally punishing films,Love Me Love Me,2026,"Drama, Romance",1317672,"Love Me Love Me (2026, 99 min), starring Pepe Barroso and Mia Jenkins. Love Me Love Me is a strong pick for this request. It fits because it leans into feel good and a Roger Kumble direction style. After her brother's death, June moves to Milan for a fresh start, finding comfort in Will, the perfect honor student at her new international school. But when his troubled best fri.",False,,,,,,1,0,1,0,2,3,5,12,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
6,"An action movie, but not superheroes.","The Avengers, Iron Man",Non-superhero action,Superhero movies / watched titles,Mad Max: Fury Road,2015,"Adventure, Science Fiction, Action",76341,"Mad Max: Fury Road (2015, 121 min), starring Tom Hardy and Charlize Theron. It is highly rated at 7.6/10 with over 23,914 TMDB votes. Mad Max: Fury Road is a strong pick for this request. It fits because it leans into action and a George Miller direction style. An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of li.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
7,I want something animated and funny.,-,Animation / humor,Non-animated adult drama,Light of the World,2025,"Fantasy, Animation, Drama, Music",1374686,"Light of the World (2025, 84 min), starring Ian Hanlin and Benjamin Jacobson. Light of the World is a strong pick for this request. It fits because it leans into animation and a Tom Bancroft, John J. Schafer direction style. It's 30 AD and everyone is expectantly awaiting the coming Messiah. While Jesus isn't exactly what they imagined, there is something special about this man. Soon, John, James, Andr.",False,,,,,,1,1,1,0,2,3,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
8,Recommend an older classic movie.,-,Older / classic,Very recent releases,Warrior,2011,"Action, Drama",59440,"Warrior (2011, 140 min), starring Joel Edgerton and Tom Hardy. It is highly rated at 7.8/10 with over 4,960 TMDB votes. Warrior is a strong pick for this request. It fits because it leans into a Gavin O'Connor direction style. The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a.",False,,,,,,0,1,1,0,2,2,5,11,Check: not very classic,not old/classic enough,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; fit rationale is generic; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
9,I want a scary movie.,-,Horror / scary,Non-scary general thrillers,The Conjuring,2013,"Horror, Thriller",138843,"The Conjuring (2013, 112 min), starring Vera Farmiga and Patrick Wilson. It is highly rated at 7.5/10 with over 12,601 TMDB votes. The Conjuring is a strong pick for this request. It fits because it leans into horror and scary. Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find thems.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: tagline, cast, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
10,"I want something light and recent, not dark.",-,Recent / light tone,"Dark, bleak movies",Challengers,2024,"Drama, Romance",937287,"Challengers (2024, 132 min), starring Zendaya and Mike Faist. Challengers is a strong pick for this request. It fits because it leans into a Luca Guadagnino direction style. Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up f.",False,,,,,,1,0,1,0,2,3,5,12,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
11,I want to watch a movie focusing on world war 2 conflicts with a heavy focus on action scenes,"The Longest Day, Bridge Over the River Kwai",WWII / historical war action,Superhero or sci-fi war titles,Legends of the Condor Heroes: The Gallants,2025,"History, Action, Drama",1185528,"Legends of the Condor Heroes: The Gallants (2025, 147 min), starring Xiao Zhan and Sabrina Zhuang. Legends of the Condor Heroes: The Gallants is a strong pick for this request. It fits because it leans into action and history. Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo.",False,,,,,,1,1,1,0,2,3,5,13,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: cast, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
12,animation new release,mario,Recent animation,Older animated titles beating newer strong options,Inside Out 2,2024,"Comedy, Adventure, Animation, Family",1022789,"Inside Out 2 (2024, 97 min), starring Amy Poehler and Maya Hawke. It is highly rated at 7.5/10 with over 6,573 TMDB votes. Inside Out 2 is a strong pick for this request. It fits because it leans into animation and a Kelsey Mann direction style. Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve lon.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, tagline, cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
13,"high-rated sci-fi, under 2 hours",-,High-quality short sci-fi,Long runtimes or mediocre-quality picks,Ex Machina,2015,"Science Fiction, Drama",264660,"Ex Machina (2015, 108 min), starring Domhnall Gleeson and Alicia Vikander. It is highly rated at 7.6/10 with over 14,147 TMDB votes. Ex Machina is a strong pick for this request. It fits because it leans into science fiction and a Alex Garland direction style. Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: director, cast, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; includes rating note
14,"romantic movie for couple, not too sad",Titanic,Date-night romance / warm tone,Tragic heartbreak-heavy romance,Anyone But You,2023,"Comedy, Romance",1072790,"Anyone But You (2023, 103 min), starring Sydney Sweeney and Glen Powell. Anyone But You is a strong pick for this request. It fits because it leans into romance and romantic. After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what.",False,,,,,,1,2,1,0,2,3,5,14,Reasonable fit,passes heuristic checks,TMDB enrichment unavailable,"uses metadata: cast, keywords, overview",under 500 chars; references prompt fit; sounds recommendation-like,includes title; includes year; includes runtime; includes top stars; rating note not required
